_id,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId,geometry,Longitude,Latitude
122,821,GO-20161625137,2016,D31,Stabbing,2016-09-13T04:00:00,27,York University Heights (27),,-79.5005569,122,"{u'type': u'Point', u'coordinates': (-79.5005569, 43.7685204)}",-79.5005569,43.7685204
123,822,GO-20161696689,2016,D43,Stabbing,2016-09-23T04:00:00,127,Bendale (127),,-79.2535477,123,"{u'type': u'Point', u'coordinates': (-79.2535477, 43.7743988)}",-79.2535477,43.7743988
124,823,GO-20161688118,2016,D11,Other,2016-09-21T04:00:00,91,Weston-Pellam Park (91),,-79.4570313,124,"{u'type': u'Point', u'coordinates': (-79.4570313, 43.6702118)}",-79.4570313,43.6702118
125,824,GO-20161743137,2016,D23,Shooting,2016-09-30T04:00:00,1,West Humber-Clairville (1),,-79.6099167,125,"{u'type': u'Point', u'coordinates': (-79.6099167, 43.7341003)}",-79.6099167,43.7341003
126,825,GO-20141435425,2014,D51,Other,2014-01-30T05:00:00,75,Church-Yonge Corridor (75),,-79.3787689,126,"{u'type': u'Point', u'coordinates': (-79.3787689, 43.6543236)}",-79.3787689,43.6543236
127,826,GO-20161838374,2016,D12,Shooting,2016-10-16T04:00:00,113,Weston (113),,-79.5177917,127,"{u'type': u'Point', u'coordinates': (-79.5177917, 43.7006035)}",-79.5177917,43.7006035
128,827,GO-20161855287,2016,D23,Shooting,2016-10-18T04:00:00,1,West Humber-Clairville (1),,-79.6001587,128,"{u'type': u'Point', u'coordinates': (-79.6001587, 43.7470398)}",-79.6001587,43.7470398
129,828,GO-20161888229,2016,D23,Shooting,2016-10-24T04:00:00,6,Kingsview Village-The Westway (6),,-79.5563736,129,"{u'type': u'Point', u'coordinates': (-79.5563736, 43.6995316)}",-79.5563736,43.6995316
130,829,GO-20161907779,2016,D43,Shooting,2016-10-27T04:00:00,137,Woburn (137),,-79.2056274,130,"{u'type': u'Point', u'coordinates': (-79.2056274, 43.7640533)}",-79.2056274,43.7640533
131,830,GO-20161966289,2016,D14,Other,2016-11-05T04:00:00,81,Trinity-Bellwoods (81),,-79.4126129,131,"{u'type': u'Point', u'coordinates': (-79.4126129, 43.6554642)}",-79.4126129,43.6554642
132,831,GO-20162051533,2016,D33,Shooting,2016-11-18T05:00:00,43,Victoria Village (43),,-79.3135223,132,"{u'type': u'Point', u'coordinates': (-79.3135223, 43.7260284)}",-79.3135223,43.7260284
133,832,GO-20162055725,2016,D31,Shooting,2016-11-19T05:00:00,24,Black Creek (24),,-79.5187607,133,"{u'type': u'Point', u'coordinates': (-79.5187607, 43.769165)}",-79.5187607,43.769165
134,833,GO-20162106299,2016,D55,Shooting,2016-11-27T05:00:00,70,South Riverdale (70),,-79.3529434,134,"{u'type': u'Point', u'coordinates': (-79.3529434, 43.6617737)}",-79.3529434,43.6617737
135,834,GO-20162138470,2016,D32,Other,2016-12-03T05:00:00,33,Clanton Park (33),,-79.4415665,135,"{u'type': u'Point', u'coordinates': (-79.4415665, 43.7506409)}",-79.4415665,43.7506409
136,835,GO-20162148586,2016,D31,Stabbing,2016-12-04T05:00:00,25,Glenfield-Jane Heights (25),,-79.5269089,136,"{u'type': u'Point', u'coordinates': (-79.5269089, 43.7553139)}",-79.5269089,43.7553139
